table,field,unit_or_type,source_or_derivation,meaning
zone.csv,zone_id,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone.csv,name,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone.csv,boundary,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone.csv,super_zone,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone.csv,mcl_original_h3_id,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone.csv,mcl_h3_resolution,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone.csv,mcl_clipped_geometry_wkt,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone.csv,mcl_boundary_status,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone.csv,source_ssbg,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone.csv,source_stpug,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone.csv,centroid_lon,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone.csv,centroid_lat,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY / CENSUS_STPUG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone_access.csv,zone_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_access.csv,centroid_node_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_access.csv,physical_access_node_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_access.csv,access_distance_m,m,pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_access.csv,access_status,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_access.csv,access_method,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_activity.csv,zone_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_activity.csv,population_2021_area_allocated,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_activity.csv,households_2021_area_allocated,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_activity.csv,gtfs_stop_count,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_activity.csv,employment,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_activity.csv,activity_proxy,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_population_households.csv,zone_id,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone_population_households.csv,source_ssbg,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone_population_households.csv,source_year,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone_population_households.csv,allocation_weight,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone_population_households.csv,source_population,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone_population_households.csv,population_allocated,persons (area-allocated),CENSUS_SSG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone_population_households.csv,source_households,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone_population_households.csv,households_allocated,households (area-allocated),CENSUS_SSG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone_population_households.csv,status,"ID, category, text or declared source unit",CENSUS_SSG_GEOMETRY,Saved field; inspect source table and methods for exact semantics
zone_source_crosswalk.csv,zone_id,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_source_crosswalk.csv,source_ssbg,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_source_crosswalk.csv,source_stpug,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_source_crosswalk.csv,source_population,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_source_crosswalk.csv,source_households,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_source_crosswalk.csv,allocation_method,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_source_crosswalk.csv,allocation_weight,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_source_crosswalk.csv,source_year,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
zone_source_crosswalk.csv,spatial_parent_match_count,"ID, category, text or declared source unit",pilot-derived relationship; see source register,Saved field; inspect source table and methods for exact semantics
